Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.","exactly , it wouldn ' t be nice if it started raining . it ' s too hot .","<sos> i know , you ' re absolutely right . <eos>","i know , you ' re absolutely right . <eos>",72,48
"i know, you're absolutely right.",i wish it would cool off one day.,"i know , you ' re absolutely right .",<sos> i wish it would cool off one day . <eos>,i wish it would cool off one day . <eos>,36,46
i wish it would cool off one day.,"that's how i feel, i want winter to come soon.",i wish it would cool off one day .,"<sos> that ' s how i feel , i want winter to come soon . <eos>","that ' s how i feel , i want winter to come soon . <eos>",34,62
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.","that ' s how i feel , i want winter to come soon .","<sos> i enjoy the winter , but it gets really cold sometimes . <eos>","i enjoy the winter , but it gets really cold sometimes . <eos>",50,68
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.","i enjoy the winter , but it gets really cold sometimes .","<sos> i know what you mean , but i ' d rather be cold than hot . <eos>","i know what you mean , but i ' d rather be cold than hot . <eos>",56,70
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,"i know what you mean , but i ' d rather be cold than hot .",<sos> that ' s exactly how i feel . <eos>,that ' s exactly how i feel . <eos>,58,41
i wish it was a nicer day today.,that is true. i hope it doesn't rain.,i wish it was a nicer day today .,<sos> that is true . i hope it doesn ' t rain . <eos>,that is true . i hope it doesn ' t rain . <eos>,33,53
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,that is true . i hope it doesn ' t rain .,<sos> it wouldn ' t rain in the middle of the summer . <eos>,it wouldn ' t rain in the middle of the summer . <eos>,41,60
it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,it wouldn ' t rain in the middle of the summer .,<sos> it wouldn ' t seem right if it started raining right now . <eos>,it wouldn ' t seem right if it started raining right now . <eos>,48,70
it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,it wouldn ' t seem right if it started raining right now .,<sos> it would be weird if it started raining in ninety degree weather . <eos>,it would be weird if it started raining in ninety degree weather . <eos>,58,78
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,it would be weird if it started raining in ninety degree weather .,<sos> any rain right now would be pointless . <eos>,any rain right now would be pointless . <eos>,66,51
any rain right now would be pointless.,"that's right, it really would be.",any rain right now would be pointless .,"<sos> that ' s right , it really would be . <eos>","that ' s right , it really would be . <eos>",39,49
"that's right, it really would be.",i want it to cool down some.,"that ' s right , it really would be .",<sos> i want it to cool down some . <eos>,i want it to cool down some . <eos>,37,41
i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",i want it to cool down some .,"<sos> i know what you mean , i can ' t wait until it ' s winter . <eos>","i know what you mean , i can ' t wait until it ' s winter . <eos>",29,71
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,"i know what you mean , i can ' t wait until it ' s winter .",<sos> winter is great . i wish it didn ' t get so cold sometimes though . <eos>,winter is great . i wish it didn ' t get so cold sometimes though . <eos>,59,79
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,winter is great . i wish it didn ' t get so cold sometimes though .,<sos> i would rather deal with the winter than the summer . <eos>,i would rather deal with the winter than the summer . <eos>,67,65
it's such a nice day.,"yes, it is.",it ' s such a nice day .,"<sos> yes , it is . <eos>","yes , it is . <eos>",24,25
"yes, it is.",it looks like it may rain soon.,"yes , it is .",<sos> it looks like it may rain soon . <eos>,it looks like it may rain soon . <eos>,13,44
it looks like it may rain soon.,"yes, and i hope that it does.",it looks like it may rain soon .,"<sos> yes , and i hope that it does . <eos>","yes , and i hope that it does . <eos>",32,43
"yes, and i hope that it does.",why is that?,"yes , and i hope that it does .",<sos> why is that ? <eos>,why is that ? <eos>,31,25
why is that?,i really love how rain clears the air.,why is that ?,<sos> i really love how rain clears the air . <eos>,i really love how rain clears the air . <eos>,13,51
i really love how rain clears the air.,me too. it always smells so fresh after it rains.,i really love how rain clears the air .,<sos> me too . it always smells so fresh after it rains . <eos>,me too . it always smells so fresh after it rains . <eos>,39,63
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",me too . it always smells so fresh after it rains .,"<sos> yes , but i love the night air after it rains . <eos>","yes , but i love the night air after it rains . <eos>",51,59
"yes, but i love the night air after it rains.",really? why is it?,"yes , but i love the night air after it rains .",<sos> really ? why is it ? <eos>,really ? why is it ? <eos>,47,32
really? why is it?,because you can see the stars perfectly.,really ? why is it ?,<sos> because you can see the stars perfectly . <eos>,because you can see the stars perfectly . <eos>,20,53
because you can see the stars perfectly.,i really hope it rains today.,because you can see the stars perfectly .,<sos> i really hope it rains today . <eos>,i really hope it rains today . <eos>,41,42
i really hope it rains today.,"yeah, me too.",i really hope it rains today .,"<sos> yeah , me too . <eos>","yeah , me too . <eos>",30,27
isn't it a nice day?,it really is.,isn ' t it a nice day ?,<sos> it really is . <eos>,it really is . <eos>,23,26
it really is.,it seems that it may rain today.,it really is .,<sos> it seems that it may rain today . <eos>,it seems that it may rain today . <eos>,14,45
it seems that it may rain today.,hopefully it will.,it seems that it may rain today .,<sos> hopefully it will . <eos>,hopefully it will . <eos>,33,31
hopefully it will.,how come?,hopefully it will .,<sos> how come ? <eos>,how come ? <eos>,19,22
how come?,i like how clear the sky gets after it rains.,how come ?,<sos> i like how clear the sky gets after it rains . <eos>,i like how clear the sky gets after it rains . <eos>,10,58
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,i like how clear the sky gets after it rains .,<sos> i feel the same way . it smells so good after it rains . <eos>,i feel the same way . it smells so good after it rains . <eos>,46,68
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,i feel the same way . it smells so good after it rains .,<sos> i especially love the night air when it rains . <eos>,i especially love the night air when it rains . <eos>,56,59
i especially love the night air when it rains.,really? why?,i especially love the night air when it rains .,<sos> really ? why ? <eos>,really ? why ? <eos>,47,26
really? why?,the stars look so much closer after it rains.,really ? why ?,<sos> the stars look so much closer after it rains . <eos>,the stars look so much closer after it rains . <eos>,14,58
the stars look so much closer after it rains.,i really want it to rain today.,the stars look so much closer after it rains .,<sos> i really want it to rain today . <eos>,i really want it to rain today . <eos>,46,44
i really want it to rain today.,"yeah, so do i.",i really want it to rain today .,"<sos> yeah , so do i . <eos>","yeah , so do i . <eos>",32,28
don't you think it's nice out?,"yes, i think so too.",don ' t you think it ' s nice out ?,"<sos> yes , i think so too . <eos>","yes , i think so too . <eos>",35,34
"yes, i think so too.",i think that it's going to rain.,"yes , i think so too .",<sos> i think that it ' s going to rain . <eos>,i think that it ' s going to rain . <eos>,22,47
i think that it's going to rain.,i hope that it does rain.,i think that it ' s going to rain .,<sos> i hope that it does rain . <eos>,i hope that it does rain . <eos>,35,38
i hope that it does rain.,you like the rain?,i hope that it does rain .,<sos> you like the rain ? <eos>,you like the rain ? <eos>,26,31
you like the rain?,the sky looks so clean after it rains. i love it.,you like the rain ?,<sos> the sky looks so clean after it rains . i love it . <eos>,the sky looks so clean after it rains . i love it . <eos>,19,63
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,the sky looks so clean after it rains . i love it .,<sos> i understand . rain does make it smell cleaner . <eos>,i understand . rain does make it smell cleaner . <eos>,51,60
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,i understand . rain does make it smell cleaner .,<sos> i love most how it is at night after it rains . <eos>,i love most how it is at night after it rains . <eos>,48,59
i love most how it is at night after it rains.,how come?,i love most how it is at night after it rains .,<sos> how come ? <eos>,how come ? <eos>,47,22
how come?,you can see the stars so much more clearly after it rains.,how come ?,<sos> you can see the stars so much more clearly after it rains . <eos>,you can see the stars so much more clearly after it rains . <eos>,10,71
you can see the stars so much more clearly after it rains.,i would love for it to rain today.,you can see the stars so much more clearly after it rains .,<sos> i would love for it to rain today . <eos>,i would love for it to rain today . <eos>,59,47
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,i really want to go to the beach this weekend .,<sos> that sounds like fun . what ' s the weather going to be like ? <eos>,that sounds like fun . what ' s the weather going to be like ? <eos>,47,74
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,that sounds like fun . what ' s the weather going to be like ?,<sos> i heard that it ' s going to be warm this weekend . <eos>,i heard that it ' s going to be warm this weekend . <eos>,62,63
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,i heard that it ' s going to be warm this weekend .,<sos> is it going to be perfect beach weather ? <eos>,is it going to be perfect beach weather ? <eos>,51,53
is it going to be perfect beach weather?,i believe so.,is it going to be perfect beach weather ?,<sos> i believe so . <eos>,i believe so . <eos>,41,26
i believe so.,good. i hope it doesn't cool off this weekend.,i believe so .,<sos> good . i hope it doesn ' t cool off this weekend . <eos>,good . i hope it doesn ' t cool off this weekend . <eos>,14,62
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,good . i hope it doesn ' t cool off this weekend .,<sos> i know . i really want to go to the beach . <eos>,i know . i really want to go to the beach . <eos>,50,55
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,i know . i really want to go to the beach .,<sos> but you know that california weather is really unpredictable . <eos>,but you know that california weather is really unpredictable . <eos>,43,74
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.",but you know that california weather is really unpredictable .,"<sos> you ' re right . one minute it ' s hot , and then the next minute it ' s cold . <eos>","you ' re right . one minute it ' s hot , and then the next minute it ' s cold . <eos>",62,91
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,"you ' re right . one minute it ' s hot , and then the next minute it ' s cold .",<sos> i really wish the weather would just stay the same . <eos>,i really wish the weather would just stay the same . <eos>,79,64
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,i really wish the weather would just stay the same .,<sos> i do too . that way we can have our activities planned ahead of time . <eos>,i do too . that way we can have our activities planned ahead of time . <eos>,52,82
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.",i do too . that way we can have our activities planned ahead of time .,"<sos> yeah , that would make things a lot easier . <eos>","yeah , that would make things a lot easier . <eos>",70,56
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,i would like to take a trip to the beach this weekend .,<sos> a trip to the beach would be fun . how is the weather going to be ? <eos>,a trip to the beach would be fun . how is the weather going to be ? <eos>,55,79
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,a trip to the beach would be fun . how is the weather going to be ?,<sos> the forecast says that it will be warm on the weekend . <eos>,the forecast says that it will be warm on the weekend . <eos>,67,67
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,the forecast says that it will be warm on the weekend .,<sos> so do you think it ' ll be perfect weather for the beach ? <eos>,so do you think it ' ll be perfect weather for the beach ? <eos>,55,70
so do you think it'll be perfect weather for the beach?,it sounds like it will be.,so do you think it ' ll be perfect weather for the beach ?,<sos> it sounds like it will be . <eos>,it sounds like it will be . <eos>,58,39
it sounds like it will be.,i really hope it doesn't get cold.,it sounds like it will be .,<sos> i really hope it doesn ' t get cold . <eos>,i really hope it doesn ' t get cold . <eos>,27,49
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.",i really hope it doesn ' t get cold .,"<sos> that would ruin things , i want to go so badly . <eos>","that would ruin things , i want to go so badly . <eos>",37,60
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.","that would ruin things , i want to go so badly .","<sos> the weather in california is unpredictable , so you never know . <eos>","the weather in california is unpredictable , so you never know . <eos>",48,76
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,"the weather in california is unpredictable , so you never know .",<sos> that is true . the weather is constantly changing . <eos>,that is true . the weather is constantly changing . <eos>,64,63
that is true. the weather is constantly changing.,it would be nice if the weather would never change.,that is true . the weather is constantly changing .,<sos> it would be nice if the weather would never change . <eos>,it would be nice if the weather would never change . <eos>,51,64
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",it would be nice if the weather would never change .,"<sos> that would be great , then we could plan things sooner . <eos>","that would be great , then we could plan things sooner . <eos>",52,68
"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,"that would be great , then we could plan things sooner .",<sos> true . predictable weather would make life easier . <eos>,true . predictable weather would make life easier . <eos>,56,63
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,it would be nice to go to the beach sometime this weekend .,<sos> what ' s the weather going to be like ? i may want to go too . <eos>,what ' s the weather going to be like ? i may want to go too . <eos>,59,74
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,what ' s the weather going to be like ? i may want to go too .,<sos> the weather this weekend is supposed to be warm . <eos>,the weather this weekend is supposed to be warm . <eos>,62,61
the weather this weekend is supposed to be warm.,will it be good beach weather?,the weather this weekend is supposed to be warm .,<sos> will it be good beach weather ? <eos>,will it be good beach weather ? <eos>,49,43
will it be good beach weather?,i think it will be.,will it be good beach weather ?,<sos> i think it will be . <eos>,i think it will be . <eos>,31,32
i think it will be.,it wouldn't be good if it got cold this weekend.,i think it will be .,<sos> it wouldn ' t be good if it got cold this weekend . <eos>,it wouldn ' t be good if it got cold this weekend . <eos>,20,63
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",it wouldn ' t be good if it got cold this weekend .,"<sos> i want this trip to be perfect , i hope it stays warm . <eos>","i want this trip to be perfect , i hope it stays warm . <eos>",51,67
"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.","i want this trip to be perfect , i hope it stays warm .","<sos> this california weather is so uncertain , it ' s impossible to know what ' ll happen . <eos>","this california weather is so uncertain , it ' s impossible to know what ' ll happen . <eos>",55,98
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,"this california weather is so uncertain , it ' s impossible to know what ' ll happen .",<sos> i know . every day the weather seems different . <eos>,i know . every day the weather seems different . <eos>,86,60
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,i know . every day the weather seems different .,<sos> i would love it if it wasn ' t always so unpredictable . <eos>,i would love it if it wasn ' t always so unpredictable . <eos>,48,68
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,i would love it if it wasn ' t always so unpredictable .,<sos> that would make it easier for us to make plans . <eos>,that would make it easier for us to make plans . <eos>,56,60
"hello, may i speak to alice please?",this is she. how's it going?,"hello , may i speak to alice please ?",<sos> this is she . how ' s it going ? <eos>,this is she . how ' s it going ? <eos>,37,44
this is she. how's it going?,i've been trying to call you all day.,this is she . how ' s it going ?,<sos> i ' ve been trying to call you all day . <eos>,i ' ve been trying to call you all day . <eos>,32,52
i've been trying to call you all day.,sorry about that. i was cleaning up.,i ' ve been trying to call you all day .,<sos> sorry about that . i was cleaning up . <eos>,sorry about that . i was cleaning up . <eos>,40,50
sorry about that. i was cleaning up.,it's okay.,sorry about that . i was cleaning up .,<sos> it ' s okay . <eos>,it ' s okay . <eos>,38,25
it's okay.,so what were you calling me about?,it ' s okay .,<sos> so what were you calling me about ? <eos>,so what were you calling me about ? <eos>,13,47
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.",so what were you calling me about ?,"<sos> oh , i just wanted to see if you wanted to hang out tomorrow . <eos>","oh , i just wanted to see if you wanted to hang out tomorrow . <eos>",35,74
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?","oh , i just wanted to see if you wanted to hang out tomorrow .","<sos> sure , what did you want to do ? <eos>","sure , what did you want to do ? <eos>",62,44
"sure, what did you want to do?",maybe we can go see a movie or something.,"sure , what did you want to do ?",<sos> maybe we can go see a movie or something . <eos>,maybe we can go see a movie or something . <eos>,32,54
maybe we can go see a movie or something.,that sounds like fun. let's do it.,maybe we can go see a movie or something .,<sos> that sounds like fun . let ' s do it . <eos>,that sounds like fun . let ' s do it . <eos>,42,50
that sounds like fun. let's do it.,i'll see you tomorrow then.,that sounds like fun . let ' s do it .,<sos> i ' ll see you tomorrow then . <eos>,i ' ll see you tomorrow then . <eos>,38,42
i'll see you tomorrow then.,see you then. goodbye.,i ' ll see you tomorrow then .,<sos> see you then . goodbye . <eos>,see you then . goodbye . <eos>,30,36
"hi, how are you. is alice there?",speaking. what's up?,"hi , how are you . is alice there ?",<sos> speaking . what ' s up ? <eos>,speaking . what ' s up ? <eos>,35,36
speaking. what's up?,why haven't you answered the phone?,speaking . what ' s up ?,<sos> why haven ' t you answered the phone ? <eos>,why haven ' t you answered the phone ? <eos>,24,50
why haven't you answered the phone?,"my bad, i had chores to do.",why haven ' t you answered the phone ?,"<sos> my bad , i had chores to do . <eos>","my bad , i had chores to do . <eos>",38,41
"my bad, i had chores to do.",that's all right.,"my bad , i had chores to do .",<sos> that ' s all right . <eos>,that ' s all right . <eos>,29,32
that's all right.,what was the reason for your call?,that ' s all right .,<sos> what was the reason for your call ? <eos>,what was the reason for your call ? <eos>,20,47
what was the reason for your call?,i want to do something tomorrow with you.,what was the reason for your call ?,<sos> i want to do something tomorrow with you . <eos>,i want to do something tomorrow with you . <eos>,35,54
i want to do something tomorrow with you.,sounds good. what did you have in mind?,i want to do something tomorrow with you .,<sos> sounds good . what did you have in mind ? <eos>,sounds good . what did you have in mind ? <eos>,42,53
sounds good. what did you have in mind?,i was thinking about seeing a movie.,sounds good . what did you have in mind ?,<sos> i was thinking about seeing a movie . <eos>,i was thinking about seeing a movie . <eos>,41,49
i was thinking about seeing a movie.,"okay, let's go see a movie.",i was thinking about seeing a movie .,"<sos> okay , let ' s go see a movie . <eos>","okay , let ' s go see a movie . <eos>",37,43
"okay, let's go see a movie.",until then.,"okay , let ' s go see a movie .",<sos> until then . <eos>,until then . <eos>,31,24
until then.,talk to you later.,until then .,<sos> talk to you later . <eos>,talk to you later . <eos>,12,31
is alice available?,you're talking to her.,is alice available ?,<sos> you ' re talking to her . <eos>,you ' re talking to her . <eos>,20,37
you're talking to her.,i've called you a hundred times today.,you ' re talking to her .,<sos> i ' ve called you a hundred times today . <eos>,i ' ve called you a hundred times today . <eos>,25,53
i've called you a hundred times today.,i was busy doing something. i apologize.,i ' ve called you a hundred times today .,<sos> i was busy doing something . i apologize . <eos>,i was busy doing something . i apologize . <eos>,41,54
i was busy doing something. i apologize.,no problem.,i was busy doing something . i apologize .,<sos> no problem . <eos>,no problem . <eos>,42,24
no problem.,did you need something?,no problem .,<sos> did you need something ? <eos>,did you need something ? <eos>,12,36
did you need something?,do you want to do something tomorrow?,did you need something ?,<sos> do you want to do something tomorrow ? <eos>,do you want to do something tomorrow ? <eos>,24,50
do you want to do something tomorrow?,is there somewhere special you wanted to go?,do you want to do something tomorrow ?,<sos> is there somewhere special you wanted to go ? <eos>,is there somewhere special you wanted to go ? <eos>,38,57
is there somewhere special you wanted to go?,how about a movie?,is there somewhere special you wanted to go ?,<sos> how about a movie ? <eos>,how about a movie ? <eos>,45,31
how about a movie?,a movie sounds good.,how about a movie ?,<sos> a movie sounds good . <eos>,a movie sounds good . <eos>,19,33
a movie sounds good.,call me tomorrow then.,a movie sounds good .,<sos> call me tomorrow then . <eos>,call me tomorrow then . <eos>,21,35
have you seen the new girl in school?,"no, i haven't.",have you seen the new girl in school ?,"<sos> no , i haven ' t . <eos>","no , i haven ' t . <eos>",38,30
"no, i haven't.",she's really pretty.,"no , i haven ' t .",<sos> she ' s really pretty . <eos>,she ' s really pretty . <eos>,18,35
she's really pretty.,describe her to me.,she ' s really pretty .,<sos> describe her to me . <eos>,describe her to me . <eos>,23,32
describe her to me.,she's not too tall.,describe her to me .,<sos> she ' s not too tall . <eos>,she ' s not too tall . <eos>,20,34
she's not too tall.,"well, how tall is she?",she ' s not too tall .,"<sos> well , how tall is she ? <eos>","well , how tall is she ? <eos>",22,36
