Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
me too. i can't wait until winter.,"i like winter too, but sometimes it gets too cold.",me too . i can ' t wait until winter .,"i like winter too , but sometimes it gets too cold .","i like winter too , but sometimes it gets too cold .",38,52
"i like winter too, but sometimes it gets too cold.",i'd rather be cold than hot.,"i like winter too , but sometimes it gets too cold .",i ' d rather be cold than hot .,i ' d rather be cold than hot .,52,31
i'd rather be cold than hot.,me too.,i ' d rather be cold than hot .,me too .,me too .,31,8
it doesn't look very nice outside today.,you're right. i think it's going to rain later.,it doesn ' t look very nice outside today .,you ' re right . i think it ' s going to rain later .,you ' re right . i think it ' s going to rain later .,43,53
you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining.",you ' re right . i think it ' s going to rain later .,"in the middle of the summer , it shouldn ' t be raining .","in the middle of the summer , it shouldn ' t be raining .",53,57
"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.,"in the middle of the summer , it shouldn ' t be raining .",that wouldn ' t seem right .,that wouldn ' t seem right .,57,28
that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird.",that wouldn ' t seem right .,"considering that it ' s over ninety degrees outside , that would be weird .","considering that it ' s over ninety degrees outside , that would be weird .",28,75
"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot.","considering that it ' s over ninety degrees outside , that would be weird .","exactly , it wouldn ' t be nice if it started raining . it ' s too hot .","exactly , it wouldn ' t be nice if it started raining . it ' s too hot .",75,72
"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right.","exactly , it wouldn ' t be nice if it started raining . it ' s too hot .","i know , you ' re absolutely right .","i know , you ' re absolutely right .",72,36
"i know, you're absolutely right.",i wish it would cool off one day.,"i know , you ' re absolutely right .",i wish it would cool off one day .,i wish it would cool off one day .,36,34
i wish it would cool off one day.,"that's how i feel, i want winter to come soon.",i wish it would cool off one day .,"that ' s how i feel , i want winter to come soon .","that ' s how i feel , i want winter to come soon .",34,50
"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes.","that ' s how i feel , i want winter to come soon .","i enjoy the winter , but it gets really cold sometimes .","i enjoy the winter , but it gets really cold sometimes .",50,56
"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot.","i enjoy the winter , but it gets really cold sometimes .","i know what you mean , but i ' d rather be cold than hot .","i know what you mean , but i ' d rather be cold than hot .",56,58
"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.,"i know what you mean , but i ' d rather be cold than hot .",that ' s exactly how i feel .,that ' s exactly how i feel .,58,29
i wish it was a nicer day today.,that is true. i hope it doesn't rain.,i wish it was a nicer day today .,that is true . i hope it doesn ' t rain .,that is true . i hope it doesn ' t rain .,33,41
that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.,that is true . i hope it doesn ' t rain .,it wouldn ' t rain in the middle of the summer .,it wouldn ' t rain in the middle of the summer .,41,48
it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,it wouldn ' t rain in the middle of the summer .,it wouldn ' t seem right if it started raining right now .,it wouldn ' t seem right if it started raining right now .,48,58
it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,it wouldn ' t seem right if it started raining right now .,it would be weird if it started raining in ninety degree weather .,it would be weird if it started raining in ninety degree weather .,58,66
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,it would be weird if it started raining in ninety degree weather .,any rain right now would be pointless .,any rain right now would be pointless .,66,39
any rain right now would be pointless.,"that's right, it really would be.",any rain right now would be pointless .,"that ' s right , it really would be .","that ' s right , it really would be .",39,37
"that's right, it really would be.",i want it to cool down some.,"that ' s right , it really would be .",i want it to cool down some .,i want it to cool down some .,37,29
i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",i want it to cool down some .,"i know what you mean , i can ' t wait until it ' s winter .","i know what you mean , i can ' t wait until it ' s winter .",29,59
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,"i know what you mean , i can ' t wait until it ' s winter .",winter is great . i wish it didn ' t get so cold sometimes though .,winter is great . i wish it didn ' t get so cold sometimes though .,59,67
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,winter is great . i wish it didn ' t get so cold sometimes though .,i would rather deal with the winter than the summer .,i would rather deal with the winter than the summer .,67,53
it's such a nice day.,"yes, it is.",it ' s such a nice day .,"yes , it is .","yes , it is .",24,13
"yes, it is.",it looks like it may rain soon.,"yes , it is .",it looks like it may rain soon .,it looks like it may rain soon .,13,32
it looks like it may rain soon.,"yes, and i hope that it does.",it looks like it may rain soon .,"yes , and i hope that it does .","yes , and i hope that it does .",32,31
"yes, and i hope that it does.",why is that?,"yes , and i hope that it does .",why is that ?,why is that ?,31,13
why is that?,i really love how rain clears the air.,why is that ?,i really love how rain clears the air .,i really love how rain clears the air .,13,39
i really love how rain clears the air.,me too. it always smells so fresh after it rains.,i really love how rain clears the air .,me too . it always smells so fresh after it rains .,me too . it always smells so fresh after it rains .,39,51
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",me too . it always smells so fresh after it rains .,"yes , but i love the night air after it rains .","yes , but i love the night air after it rains .",51,47
"yes, but i love the night air after it rains.",really? why is it?,"yes , but i love the night air after it rains .",really ? why is it ?,really ? why is it ?,47,20
really? why is it?,because you can see the stars perfectly.,really ? why is it ?,because you can see the stars perfectly .,because you can see the stars perfectly .,20,41
because you can see the stars perfectly.,i really hope it rains today.,because you can see the stars perfectly .,i really hope it rains today .,i really hope it rains today .,41,30
i really hope it rains today.,"yeah, me too.",i really hope it rains today .,"yeah , me too .","yeah , me too .",30,15
isn't it a nice day?,it really is.,isn ' t it a nice day ?,it really is .,it really is .,23,14
it really is.,it seems that it may rain today.,it really is .,it seems that it may rain today .,it seems that it may rain today .,14,33
it seems that it may rain today.,hopefully it will.,it seems that it may rain today .,hopefully it will .,hopefully it will .,33,19
hopefully it will.,how come?,hopefully it will .,how come ?,how come ?,19,10
how come?,i like how clear the sky gets after it rains.,how come ?,i like how clear the sky gets after it rains .,i like how clear the sky gets after it rains .,10,46
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,i like how clear the sky gets after it rains .,i feel the same way . it smells so good after it rains .,i feel the same way . it smells so good after it rains .,46,56
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,i feel the same way . it smells so good after it rains .,i especially love the night air when it rains .,i especially love the night air when it rains .,56,47
i especially love the night air when it rains.,really? why?,i especially love the night air when it rains .,really ? why ?,really ? why ?,47,14
really? why?,the stars look so much closer after it rains.,really ? why ?,the stars look so much closer after it rains .,the stars look so much closer after it rains .,14,46
the stars look so much closer after it rains.,i really want it to rain today.,the stars look so much closer after it rains .,i really want it to rain today .,i really want it to rain today .,46,32
i really want it to rain today.,"yeah, so do i.",i really want it to rain today .,"yeah , so do i .","yeah , so do i .",32,16
don't you think it's nice out?,"yes, i think so too.",don ' t you think it ' s nice out ?,"yes , i think so too .","yes , i think so too .",35,22
"yes, i think so too.",i think that it's going to rain.,"yes , i think so too .",i think that it ' s going to rain .,i think that it ' s going to rain .,22,35
i think that it's going to rain.,i hope that it does rain.,i think that it ' s going to rain .,i hope that it does rain .,i hope that it does rain .,35,26
i hope that it does rain.,you like the rain?,i hope that it does rain .,you like the rain ?,you like the rain ?,26,19
you like the rain?,the sky looks so clean after it rains. i love it.,you like the rain ?,the sky looks so clean after it rains . i love it .,the sky looks so clean after it rains . i love it .,19,51
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,the sky looks so clean after it rains . i love it .,i understand . rain does make it smell cleaner .,i understand . rain does make it smell cleaner .,51,48
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,i understand . rain does make it smell cleaner .,i love most how it is at night after it rains .,i love most how it is at night after it rains .,48,47
i love most how it is at night after it rains.,how come?,i love most how it is at night after it rains .,how come ?,how come ?,47,10
how come?,you can see the stars so much more clearly after it rains.,how come ?,you can see the stars so much more clearly after it rains .,you can see the stars so much more clearly after it rains .,10,59
you can see the stars so much more clearly after it rains.,i would love for it to rain today.,you can see the stars so much more clearly after it rains .,i would love for it to rain today .,i would love for it to rain today .,59,35
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,i really want to go to the beach this weekend .,that sounds like fun . what ' s the weather going to be like ?,that sounds like fun . what ' s the weather going to be like ?,47,62
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,that sounds like fun . what ' s the weather going to be like ?,i heard that it ' s going to be warm this weekend .,i heard that it ' s going to be warm this weekend .,62,51
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,i heard that it ' s going to be warm this weekend .,is it going to be perfect beach weather ?,is it going to be perfect beach weather ?,51,41
is it going to be perfect beach weather?,i believe so.,is it going to be perfect beach weather ?,i believe so .,i believe so .,41,14
i believe so.,good. i hope it doesn't cool off this weekend.,i believe so .,good . i hope it doesn ' t cool off this weekend .,good . i hope it doesn ' t cool off this weekend .,14,50
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,good . i hope it doesn ' t cool off this weekend .,i know . i really want to go to the beach .,i know . i really want to go to the beach .,50,43
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,i know . i really want to go to the beach .,but you know that california weather is really unpredictable .,but you know that california weather is really unpredictable .,43,62
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.",but you know that california weather is really unpredictable .,"you ' re right . one minute it ' s hot , and then the next minute it ' s cold .","you ' re right . one minute it ' s hot , and then the next minute it ' s cold .",62,79
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,"you ' re right . one minute it ' s hot , and then the next minute it ' s cold .",i really wish the weather would just stay the same .,i really wish the weather would just stay the same .,79,52
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,i really wish the weather would just stay the same .,i do too . that way we can have our activities planned ahead of time .,i do too . that way we can have our activities planned ahead of time .,52,70
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.",i do too . that way we can have our activities planned ahead of time .,"yeah , that would make things a lot easier .","yeah , that would make things a lot easier .",70,44
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,i would like to take a trip to the beach this weekend .,a trip to the beach would be fun . how is the weather going to be ?,a trip to the beach would be fun . how is the weather going to be ?,55,67
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,a trip to the beach would be fun . how is the weather going to be ?,the forecast says that it will be warm on the weekend .,the forecast says that it will be warm on the weekend .,67,55
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,the forecast says that it will be warm on the weekend .,so do you think it ' ll be perfect weather for the beach ?,so do you think it ' ll be perfect weather for the beach ?,55,58
so do you think it'll be perfect weather for the beach?,it sounds like it will be.,so do you think it ' ll be perfect weather for the beach ?,it sounds like it will be .,it sounds like it will be .,58,27
it sounds like it will be.,i really hope it doesn't get cold.,it sounds like it will be .,i really hope it doesn ' t get cold .,i really hope it doesn ' t get cold .,27,37
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.",i really hope it doesn ' t get cold .,"that would ruin things , i want to go so badly .","that would ruin things , i want to go so badly .",37,48
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.","that would ruin things , i want to go so badly .","the weather in california is unpredictable , so you never know .","the weather in california is unpredictable , so you never know .",48,64
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,"the weather in california is unpredictable , so you never know .",that is true . the weather is constantly changing .,that is true . the weather is constantly changing .,64,51
that is true. the weather is constantly changing.,it would be nice if the weather would never change.,that is true . the weather is constantly changing .,it would be nice if the weather would never change .,it would be nice if the weather would never change .,51,52
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",it would be nice if the weather would never change .,"that would be great , then we could plan things sooner .","that would be great , then we could plan things sooner .",52,56
"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,"that would be great , then we could plan things sooner .",true . predictable weather would make life easier .,true . predictable weather would make life easier .,56,51
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,it would be nice to go to the beach sometime this weekend .,what ' s the weather going to be like ? i may want to go too .,what ' s the weather going to be like ? i may want to go too .,59,62
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,what ' s the weather going to be like ? i may want to go too .,the weather this weekend is supposed to be warm .,the weather this weekend is supposed to be warm .,62,49
the weather this weekend is supposed to be warm.,will it be good beach weather?,the weather this weekend is supposed to be warm .,will it be good beach weather ?,will it be good beach weather ?,49,31
will it be good beach weather?,i think it will be.,will it be good beach weather ?,i think it will be .,i think it will be .,31,20
i think it will be.,it wouldn't be good if it got cold this weekend.,i think it will be .,it wouldn ' t be good if it got cold this weekend .,it wouldn ' t be good if it got cold this weekend .,20,51
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",it wouldn ' t be good if it got cold this weekend .,"i want this trip to be perfect , i hope it stays warm .","i want this trip to be perfect , i hope it stays warm .",51,55
"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.","i want this trip to be perfect , i hope it stays warm .","this california weather is so uncertain , it ' s impossible to know what ' ll happen .","this california weather is so uncertain , it ' s impossible to know what ' ll happen .",55,86
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,"this california weather is so uncertain , it ' s impossible to know what ' ll happen .",i know . every day the weather seems different .,i know . every day the weather seems different .,86,48
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,i know . every day the weather seems different .,i would love it if it wasn ' t always so unpredictable .,i would love it if it wasn ' t always so unpredictable .,48,56
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,i would love it if it wasn ' t always so unpredictable .,that would make it easier for us to make plans .,that would make it easier for us to make plans .,56,48
"hello, may i speak to alice please?",this is she. how's it going?,"hello , may i speak to alice please ?",this is she . how ' s it going ?,this is she . how ' s it going ?,37,32
this is she. how's it going?,i've been trying to call you all day.,this is she . how ' s it going ?,i ' ve been trying to call you all day .,i ' ve been trying to call you all day .,32,40
i've been trying to call you all day.,sorry about that. i was cleaning up.,i ' ve been trying to call you all day .,sorry about that . i was cleaning up .,sorry about that . i was cleaning up .,40,38
sorry about that. i was cleaning up.,it's okay.,sorry about that . i was cleaning up .,it ' s okay .,it ' s okay .,38,13
it's okay.,so what were you calling me about?,it ' s okay .,so what were you calling me about ?,so what were you calling me about ?,13,35
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.",so what were you calling me about ?,"oh , i just wanted to see if you wanted to hang out tomorrow .","oh , i just wanted to see if you wanted to hang out tomorrow .",35,62
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?","oh , i just wanted to see if you wanted to hang out tomorrow .","sure , what did you want to do ?","sure , what did you want to do ?",62,32
"sure, what did you want to do?",maybe we can go see a movie or something.,"sure , what did you want to do ?",maybe we can go see a movie or something .,maybe we can go see a movie or something .,32,42
maybe we can go see a movie or something.,that sounds like fun. let's do it.,maybe we can go see a movie or something .,that sounds like fun . let ' s do it .,that sounds like fun . let ' s do it .,42,38
that sounds like fun. let's do it.,i'll see you tomorrow then.,that sounds like fun . let ' s do it .,i ' ll see you tomorrow then .,i ' ll see you tomorrow then .,38,30
i'll see you tomorrow then.,see you then. goodbye.,i ' ll see you tomorrow then .,see you then . goodbye .,see you then . goodbye .,30,24
"hi, how are you. is alice there?",speaking. what's up?,"hi , how are you . is alice there ?",speaking . what ' s up ?,speaking . what ' s up ?,35,24
speaking. what's up?,why haven't you answered the phone?,speaking . what ' s up ?,why haven ' t you answered the phone ?,why haven ' t you answered the phone ?,24,38
why haven't you answered the phone?,"my bad, i had chores to do.",why haven ' t you answered the phone ?,"my bad , i had chores to do .","my bad , i had chores to do .",38,29
"my bad, i had chores to do.",that's all right.,"my bad , i had chores to do .",that ' s all right .,that ' s all right .,29,20
that's all right.,what was the reason for your call?,that ' s all right .,what was the reason for your call ?,what was the reason for your call ?,20,35
what was the reason for your call?,i want to do something tomorrow with you.,what was the reason for your call ?,i want to do something tomorrow with you .,i want to do something tomorrow with you .,35,42
i want to do something tomorrow with you.,sounds good. what did you have in mind?,i want to do something tomorrow with you .,sounds good . what did you have in mind ?,sounds good . what did you have in mind ?,42,41
sounds good. what did you have in mind?,i was thinking about seeing a movie.,sounds good . what did you have in mind ?,i was thinking about seeing a movie .,i was thinking about seeing a movie .,41,37
i was thinking about seeing a movie.,"okay, let's go see a movie.",i was thinking about seeing a movie .,"okay , let ' s go see a movie .","okay , let ' s go see a movie .",37,31
"okay, let's go see a movie.",until then.,"okay , let ' s go see a movie .",until then .,until then .,31,12
until then.,talk to you later.,until then .,talk to you later .,talk to you later .,12,19
is alice available?,you're talking to her.,is alice available ?,you ' re talking to her .,you ' re talking to her .,20,25
you're talking to her.,i've called you a hundred times today.,you ' re talking to her .,i ' ve called you a hundred times today .,i ' ve called you a hundred times today .,25,41
i've called you a hundred times today.,i was busy doing something. i apologize.,i ' ve called you a hundred times today .,i was busy doing something . i apologize .,i was busy doing something . i apologize .,41,42
i was busy doing something. i apologize.,no problem.,i was busy doing something . i apologize .,no problem .,no problem .,42,12
no problem.,did you need something?,no problem .,did you need something ?,did you need something ?,12,24
did you need something?,do you want to do something tomorrow?,did you need something ?,do you want to do something tomorrow ?,do you want to do something tomorrow ?,24,38
do you want to do something tomorrow?,is there somewhere special you wanted to go?,do you want to do something tomorrow ?,is there somewhere special you wanted to go ?,is there somewhere special you wanted to go ?,38,45
is there somewhere special you wanted to go?,how about a movie?,is there somewhere special you wanted to go ?,how about a movie ?,how about a movie ?,45,19
how about a movie?,a movie sounds good.,how about a movie ?,a movie sounds good .,a movie sounds good .,19,21
a movie sounds good.,call me tomorrow then.,a movie sounds good .,call me tomorrow then .,call me tomorrow then .,21,23
have you seen the new girl in school?,"no, i haven't.",have you seen the new girl in school ?,"no , i haven ' t .","no , i haven ' t .",38,18
"no, i haven't.",she's really pretty.,"no , i haven ' t .",she ' s really pretty .,she ' s really pretty .,18,23
she's really pretty.,describe her to me.,she ' s really pretty .,describe her to me .,describe her to me .,23,20
describe her to me.,she's not too tall.,describe her to me .,she ' s not too tall .,she ' s not too tall .,20,22
she's not too tall.,"well, how tall is she?",she ' s not too tall .,"well , how tall is she ?","well , how tall is she ?",22,24
"well, how tall is she?",she's about five feet even.,"well , how tall is she ?",she ' s about five feet even .,she ' s about five feet even .,24,30
she's about five feet even.,"what does she look like, though?",she ' s about five feet even .,"what does she look like , though ?","what does she look like , though ?",30,34
"what does she look like, though?",she has pretty light brown eyes.,"what does she look like , though ?",she has pretty light brown eyes .,she has pretty light brown eyes .,34,33
she has pretty light brown eyes.,i may know which girl you're talking about.,she has pretty light brown eyes .,i may know which girl you ' re talking about .,i may know which girl you ' re talking about .,33,46
i may know which girl you're talking about.,so you have seen her around?,i may know which girl you ' re talking about .,so you have seen her around ?,so you have seen her around ?,46,29
so you have seen her around?,"yes, i have.",so you have seen her around ?,"yes , i have .","yes , i have .",29,14
"there's a new girl in school, have you seen her yet?",i haven't seen her yet.,"there ' s a new girl in school , have you seen her yet ?",i haven ' t seen her yet .,i haven ' t seen her yet .,56,26
i haven't seen her yet.,i think that she is very pretty.,i haven ' t seen her yet .,i think that she is very pretty .,i think that she is very pretty .,26,33
i think that she is very pretty.,tell me how she looks.,i think that she is very pretty .,tell me how she looks .,tell me how she looks .,33,23
tell me how she looks.,she's kind of short.,tell me how she looks .,she ' s kind of short .,she ' s kind of short .,23,23
she's kind of short.,what height is she?,she ' s kind of short .,what height is she ?,what height is she ?,23,20
what height is she?,she's probably about five feet.,what height is she ?,she ' s probably about five feet .,she ' s probably about five feet .,20,34
she's probably about five feet.,"that's nice, but tell me what she looks like.",she ' s probably about five feet .,"that ' s nice , but tell me what she looks like .","that ' s nice , but tell me what she looks like .",34,49
"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.,"that ' s nice , but tell me what she looks like .",the first thing i noticed was her beautiful brown eyes .,the first thing i noticed was her beautiful brown eyes .,49,56
the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.,the first thing i noticed was her beautiful brown eyes .,i think i might ' ve bumped into her before .,i think i might ' ve bumped into her before .,56,45
i think i might've bumped into her before.,are you telling me that you've seen her before?,i think i might ' ve bumped into her before .,are you telling me that you ' ve seen her before ?,are you telling me that you ' ve seen her before ?,45,50
are you telling me that you've seen her before?,i believe so.,are you telling me that you ' ve seen her before ?,i believe so .,i believe so .,50,14
have you met the new girl?,no. have you?,have you met the new girl ?,no . have you ?,no . have you ?,27,15
no. have you?,she's one of the prettiest girls at the school.,no . have you ?,she ' s one of the prettiest girls at the school .,she ' s one of the prettiest girls at the school .,15,50
she's one of the prettiest girls at the school.,what does she look like?,she ' s one of the prettiest girls at the school .,what does she look like ?,what does she look like ?,50,25
what does she look like?,"well, she's quite short.",what does she look like ?,"well , she ' s quite short .","well , she ' s quite short .",25,28
"well, she's quite short.",how tall would you say that she is?,"well , she ' s quite short .",how tall would you say that she is ?,how tall would you say that she is ?,28,36
how tall would you say that she is?,i would say she's only five feet.,how tall would you say that she is ?,i would say she ' s only five feet .,i would say she ' s only five feet .,36,36
i would say she's only five feet.,what about her facial features?,i would say she ' s only five feet .,what about her facial features ?,what about her facial features ?,36,32
what about her facial features?,"she has light brown eyes, absolutely beautiful.",what about her facial features ?,"she has light brown eyes , absolutely beautiful .","she has light brown eyes , absolutely beautiful .",32,49
"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.,"she has light brown eyes , absolutely beautiful .",i think i know who you ' re talking about .,i think i know who you ' re talking about .,49,43
i think i know who you're talking about.,have you seen her?,i think i know who you ' re talking about .,have you seen her ?,have you seen her ?,43,19
why weren't you at school yesterday?,i wasn't really feeling well.,why weren ' t you at school yesterday ?,i wasn ' t really feeling well .,i wasn ' t really feeling well .,39,32
i wasn't really feeling well.,what was wrong with you?,i wasn ' t really feeling well .,what was wrong with you ?,what was wrong with you ?,32,25
what was wrong with you?,my stomach was upset.,what was wrong with you ?,my stomach was upset .,my stomach was upset .,25,22
my stomach was upset.,do you feel better now?,my stomach was upset .,do you feel better now ?,do you feel better now ?,22,24
do you feel better now?,i don't really feel too well yet.,do you feel better now ?,i don ' t really feel too well yet .,i don ' t really feel too well yet .,24,36
