Question,Answer,Encoder Inputs,Decoder Inputs,Decoder Targets,Question Length,Answer Length
it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.,it would not rain in the middle of the summer,<sos> it would not seem right if it started raining right now <eos>,it would not seem right if it started raining right now <eos>,45,67
it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.,it would not seem right if it started raining right now,<sos> it would be weird if it started raining in ninety degree weather <eos>,it would be weird if it started raining in ninety degree weather <eos>,55,76
it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.,it would be weird if it started raining in ninety degree weather,<sos> any rain right now would be pointless <eos>,any rain right now would be pointless <eos>,64,49
any rain right now would be pointless.,"that's right, it really would be.",any rain right now would be pointless,<sos> that is right it really would be <eos>,that is right it really would be <eos>,37,44
"that's right, it really would be.",i want it to cool down some.,that is right it really would be,<sos> i want it to cool down some <eos>,i want it to cool down some <eos>,32,39
i want it to cool down some.,"i know what you mean, i can't wait until it's winter.",i want it to cool down some,<sos> i know what you mean i cannot wait until it is winter <eos>,i know what you mean i cannot wait until it is winter <eos>,27,65
"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.,i know what you mean i cannot wait until it is winter,<sos> winter is great i wish it did not get so cold sometimes though <eos>,winter is great i wish it did not get so cold sometimes though <eos>,53,74
winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.,winter is great i wish it did not get so cold sometimes though,<sos> i would rather deal with the winter than the summer <eos>,i would rather deal with the winter than the summer <eos>,62,63
it's such a nice day.,"yes, it is.",it is such a nice day,<sos> yes it is <eos>,yes it is <eos>,21,21
"yes, it is.",it looks like it may rain soon.,yes it is,<sos> it looks like it may rain soon <eos>,it looks like it may rain soon <eos>,9,42
it looks like it may rain soon.,"yes, and i hope that it does.",it looks like it may rain soon,<sos> yes and i hope that it does <eos>,yes and i hope that it does <eos>,30,39
"yes, and i hope that it does.",why is that?,yes and i hope that it does,<sos> why is that <eos>,why is that <eos>,27,23
why is that?,i really love how rain clears the air.,why is that,<sos> i really love how rain clears the air <eos>,i really love how rain clears the air <eos>,11,49
i really love how rain clears the air.,me too. it always smells so fresh after it rains.,i really love how rain clears the air,<sos> me too it always smells so fresh after it rains <eos>,me too it always smells so fresh after it rains <eos>,37,59
me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains.",me too it always smells so fresh after it rains,<sos> yes but i love the night air after it rains <eos>,yes but i love the night air after it rains <eos>,47,55
"yes, but i love the night air after it rains.",really? why is it?,yes but i love the night air after it rains,<sos> really why is it <eos>,really why is it <eos>,43,28
really? why is it?,because you can see the stars perfectly.,really why is it,<sos> because you can see the stars perfectly <eos>,because you can see the stars perfectly <eos>,16,51
because you can see the stars perfectly.,i really hope it rains today.,because you can see the stars perfectly,<sos> i really hope it rains today <eos>,i really hope it rains today <eos>,39,40
i really hope it rains today.,"yeah, me too.",i really hope it rains today,<sos> yeah me too <eos>,yeah me too <eos>,28,23
isn't it a nice day?,it really is.,is not it a nice day,<sos> it really is <eos>,it really is <eos>,20,24
it really is.,it seems that it may rain today.,it really is,<sos> it seems that it may rain today <eos>,it seems that it may rain today <eos>,12,43
it seems that it may rain today.,hopefully it will.,it seems that it may rain today,<sos> hopefully it will <eos>,hopefully it will <eos>,31,29
hopefully it will.,how come?,hopefully it will,<sos> how come <eos>,how come <eos>,17,20
how come?,i like how clear the sky gets after it rains.,how come,<sos> i like how clear the sky gets after it rains <eos>,i like how clear the sky gets after it rains <eos>,8,56
i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.,i like how clear the sky gets after it rains,<sos> i feel the same way it smells so good after it rains <eos>,i feel the same way it smells so good after it rains <eos>,44,64
i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.,i feel the same way it smells so good after it rains,<sos> i especially love the night air when it rains <eos>,i especially love the night air when it rains <eos>,52,57
i especially love the night air when it rains.,really? why?,i especially love the night air when it rains,<sos> really why <eos>,really why <eos>,45,22
really? why?,the stars look so much closer after it rains.,really why,<sos> the stars look so much closer after it rains <eos>,the stars look so much closer after it rains <eos>,10,56
the stars look so much closer after it rains.,i really want it to rain today.,the stars look so much closer after it rains,<sos> i really want it to rain today <eos>,i really want it to rain today <eos>,44,42
i really want it to rain today.,"yeah, so do i.",i really want it to rain today,<sos> yeah so do i <eos>,yeah so do i <eos>,30,24
don't you think it's nice out?,"yes, i think so too.",do not you think it is nice out,<sos> yes i think so too <eos>,yes i think so too <eos>,31,30
"yes, i think so too.",i think that it's going to rain.,yes i think so too,<sos> i think that it is going to rain <eos>,i think that it is going to rain <eos>,18,44
i think that it's going to rain.,i hope that it does rain.,i think that it is going to rain,<sos> i hope that it does rain <eos>,i hope that it does rain <eos>,32,36
i hope that it does rain.,you like the rain?,i hope that it does rain,<sos> you like the rain <eos>,you like the rain <eos>,24,29
you like the rain?,the sky looks so clean after it rains. i love it.,you like the rain,<sos> the sky looks so clean after it rains i love it <eos>,the sky looks so clean after it rains i love it <eos>,17,59
the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.,the sky looks so clean after it rains i love it,<sos> i understand rain does make it smell cleaner <eos>,i understand rain does make it smell cleaner <eos>,47,56
i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.,i understand rain does make it smell cleaner,<sos> i love most how it is at night after it rains <eos>,i love most how it is at night after it rains <eos>,44,57
i love most how it is at night after it rains.,how come?,i love most how it is at night after it rains,<sos> how come <eos>,how come <eos>,45,20
how come?,you can see the stars so much more clearly after it rains.,how come,<sos> you can see the stars so much more clearly after it rains <eos>,you can see the stars so much more clearly after it rains <eos>,8,69
you can see the stars so much more clearly after it rains.,i would love for it to rain today.,you can see the stars so much more clearly after it rains,<sos> i would love for it to rain today <eos>,i would love for it to rain today <eos>,57,45
i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?,i really want to go to the beach this weekend,<sos> that sounds like fun that is the weather going to be like <eos>,that sounds like fun that is the weather going to be like <eos>,45,69
that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.,that sounds like fun that is the weather going to be like,<sos> i heard that it is going to be warm this weekend <eos>,i heard that it is going to be warm this weekend <eos>,57,60
i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?,i heard that it is going to be warm this weekend,<sos> is it going to be perfect beach weather <eos>,is it going to be perfect beach weather <eos>,48,51
is it going to be perfect beach weather?,i believe so.,is it going to be perfect beach weather,<sos> i believe so <eos>,i believe so <eos>,39,24
i believe so.,good. i hope it doesn't cool off this weekend.,i believe so,<sos> good i hope it does not cool off this weekend <eos>,good i hope it does not cool off this weekend <eos>,12,57
good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.,good i hope it does not cool off this weekend,<sos> i know i really want to go to the beach <eos>,i know i really want to go to the beach <eos>,45,51
i know. i really want to go to the beach.,but you know that california weather is really unpredictable.,i know i really want to go to the beach,<sos> but you know that california weather is really unpredictable <eos>,but you know that california weather is really unpredictable <eos>,39,72
but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold.",but you know that california weather is really unpredictable,<sos> you are right one minute it is hot and then the next minute it is cold <eos>,you are right one minute it is hot and then the next minute it is cold <eos>,60,82
"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.,you are right one minute it is hot and then the next minute it is cold,<sos> i really wish the weather would just stay the same <eos>,i really wish the weather would just stay the same <eos>,70,62
i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.,i really wish the weather would just stay the same,<sos> i do too that way we can have our activities planned ahead of time <eos>,i do too that way we can have our activities planned ahead of time <eos>,50,78
i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier.",i do too that way we can have our activities planned ahead of time,<sos> yeah that would make things a lot easier <eos>,yeah that would make things a lot easier <eos>,66,52
i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?,i would like to take a trip to the beach this weekend,<sos> a trip to the beach would be fun how is the weather going to be <eos>,a trip to the beach would be fun how is the weather going to be <eos>,53,75
a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.,a trip to the beach would be fun how is the weather going to be,<sos> the forecast says that it will be warm on the weekend <eos>,the forecast says that it will be warm on the weekend <eos>,63,65
the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?,the forecast says that it will be warm on the weekend,<sos> so do you think it will be perfect weather for the beach <eos>,so do you think it will be perfect weather for the beach <eos>,53,68
so do you think it'll be perfect weather for the beach?,it sounds like it will be.,so do you think it will be perfect weather for the beach,<sos> it sounds like it will be <eos>,it sounds like it will be <eos>,56,37
it sounds like it will be.,i really hope it doesn't get cold.,it sounds like it will be,<sos> i really hope it does not get cold <eos>,i really hope it does not get cold <eos>,25,46
i really hope it doesn't get cold.,"that would ruin things, i want to go so badly.",i really hope it does not get cold,<sos> that would ruin things i want to go so badly <eos>,that would ruin things i want to go so badly <eos>,34,56
"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know.",that would ruin things i want to go so badly,<sos> the weather in california is unpredictable so you never know <eos>,the weather in california is unpredictable so you never know <eos>,44,72
"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.,the weather in california is unpredictable so you never know,<sos> that is true the weather is constantly changing <eos>,that is true the weather is constantly changing <eos>,60,59
that is true. the weather is constantly changing.,it would be nice if the weather would never change.,that is true the weather is constantly changing,<sos> it would be nice if the weather would never change <eos>,it would be nice if the weather would never change <eos>,47,62
it would be nice if the weather would never change.,"that would be great, then we could plan things sooner.",it would be nice if the weather would never change,<sos> that would be great then we could plan things sooner <eos>,that would be great then we could plan things sooner <eos>,50,64
"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.,that would be great then we could plan things sooner,<sos> true predictable weather would make life easier <eos>,true predictable weather would make life easier <eos>,52,59
it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.,it would be nice to go to the beach sometime this weekend,<sos> that is the weather going to be like i may want to go too <eos>,that is the weather going to be like i may want to go too <eos>,57,69
what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.,that is the weather going to be like i may want to go too,<sos> the weather this weekend is supposed to be warm <eos>,the weather this weekend is supposed to be warm <eos>,57,59
the weather this weekend is supposed to be warm.,will it be good beach weather?,the weather this weekend is supposed to be warm,<sos> will it be good beach weather <eos>,will it be good beach weather <eos>,47,41
will it be good beach weather?,i think it will be.,will it be good beach weather,<sos> i think it will be <eos>,i think it will be <eos>,29,30
i think it will be.,it wouldn't be good if it got cold this weekend.,i think it will be,<sos> it would not be good if it got cold this weekend <eos>,it would not be good if it got cold this weekend <eos>,18,60
it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm.",it would not be good if it got cold this weekend,<sos> i want this trip to be perfect i hope it stays warm <eos>,i want this trip to be perfect i hope it stays warm <eos>,48,63
"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen.",i want this trip to be perfect i hope it stays warm,<sos> this california weather is so uncertain it is impossible to know what will happen <eos>,this california weather is so uncertain it is impossible to know what will happen <eos>,51,93
"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.,this california weather is so uncertain it is impossible to know what will happen,<sos> i know every day the weather seems different <eos>,i know every day the weather seems different <eos>,81,56
i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.,i know every day the weather seems different,<sos> i would love it if it was not always so unpredictable <eos>,i would love it if it was not always so unpredictable <eos>,44,65
i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.,i would love it if it was not always so unpredictable,<sos> that would make it easier for us to make plans <eos>,that would make it easier for us to make plans <eos>,53,58
"hello, may i speak to alice please?",this is she. how's it going?,hello may i speak to alice please,<sos> this is she how is it going <eos>,this is she how is it going <eos>,33,39
this is she. how's it going?,i've been trying to call you all day.,this is she how is it going,<sos> i have been trying to call you all day <eos>,i have been trying to call you all day <eos>,27,50
i've been trying to call you all day.,sorry about that. i was cleaning up.,i have been trying to call you all day,<sos> sorry about that i was cleaning up <eos>,sorry about that i was cleaning up <eos>,38,46
sorry about that. i was cleaning up.,it's okay.,sorry about that i was cleaning up,<sos> it is okay <eos>,it is okay <eos>,34,22
it's okay.,so what were you calling me about?,it is okay,<sos> so what were you calling me about <eos>,so what were you calling me about <eos>,10,45
so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow.",so what were you calling me about,<sos> oh i just wanted to see if you wanted to hang out tomorrow <eos>,oh i just wanted to see if you wanted to hang out tomorrow <eos>,33,70
"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?",oh i just wanted to see if you wanted to hang out tomorrow,<sos> sure what did you want to do <eos>,sure what did you want to do <eos>,58,40
"sure, what did you want to do?",maybe we can go see a movie or something.,sure what did you want to do,<sos> maybe we can go see a movie or something <eos>,maybe we can go see a movie or something <eos>,28,52
maybe we can go see a movie or something.,that sounds like fun. let's do it.,maybe we can go see a movie or something,<sos> that sounds like fun let ' s do it <eos>,that sounds like fun let ' s do it <eos>,40,46
that sounds like fun. let's do it.,i'll see you tomorrow then.,that sounds like fun let ' s do it,<sos> i will see you tomorrow then <eos>,i will see you tomorrow then <eos>,34,40
i'll see you tomorrow then.,see you then. goodbye.,i will see you tomorrow then,<sos> see you then goodbye <eos>,see you then goodbye <eos>,28,32
"hi, how are you. is alice there?",speaking. what's up?,hi how are you is alice there,<sos> speaking that is up <eos>,speaking that is up <eos>,29,31
speaking. what's up?,why haven't you answered the phone?,speaking that is up,<sos> why have not you answered the phone <eos>,why have not you answered the phone <eos>,19,47
why haven't you answered the phone?,"my bad, i had chores to do.",why have not you answered the phone,<sos> my bad i had chores to do <eos>,my bad i had chores to do <eos>,35,37
"my bad, i had chores to do.",that's all right.,my bad i had chores to do,<sos> that is all right <eos>,that is all right <eos>,25,29
that's all right.,what was the reason for your call?,that is all right,<sos> what was the reason for your call <eos>,what was the reason for your call <eos>,17,45
what was the reason for your call?,i want to do something tomorrow with you.,what was the reason for your call,<sos> i want to do something tomorrow with you <eos>,i want to do something tomorrow with you <eos>,33,52
i want to do something tomorrow with you.,sounds good. what did you have in mind?,i want to do something tomorrow with you,<sos> sounds good what did you have in mind <eos>,sounds good what did you have in mind <eos>,40,49
sounds good. what did you have in mind?,i was thinking about seeing a movie.,sounds good what did you have in mind,<sos> i was thinking about seeing a movie <eos>,i was thinking about seeing a movie <eos>,37,47
i was thinking about seeing a movie.,"okay, let's go see a movie.",i was thinking about seeing a movie,<sos> okay let ' s go see a movie <eos>,okay let ' s go see a movie <eos>,35,39
"okay, let's go see a movie.",until then.,okay let ' s go see a movie,<sos> until then <eos>,until then <eos>,27,22
until then.,talk to you later.,until then,<sos> talk to you later <eos>,talk to you later <eos>,10,29
is alice available?,you're talking to her.,is alice available,<sos> you are talking to her <eos>,you are talking to her <eos>,18,34
you're talking to her.,i've called you a hundred times today.,you are talking to her,<sos> i have called you a hundred times today <eos>,i have called you a hundred times today <eos>,22,51
i've called you a hundred times today.,i was busy doing something. i apologize.,i have called you a hundred times today,<sos> i was busy doing something i apologize <eos>,i was busy doing something i apologize <eos>,39,50
i was busy doing something. i apologize.,no problem.,i was busy doing something i apologize,<sos> no problem <eos>,no problem <eos>,38,22
no problem.,did you need something?,no problem,<sos> did you need something <eos>,did you need something <eos>,10,34
did you need something?,do you want to do something tomorrow?,did you need something,<sos> do you want to do something tomorrow <eos>,do you want to do something tomorrow <eos>,22,48
do you want to do something tomorrow?,is there somewhere special you wanted to go?,do you want to do something tomorrow,<sos> is there somewhere special you wanted to go <eos>,is there somewhere special you wanted to go <eos>,36,55
is there somewhere special you wanted to go?,how about a movie?,is there somewhere special you wanted to go,<sos> how about a movie <eos>,how about a movie <eos>,43,29
how about a movie?,a movie sounds good.,how about a movie,<sos> a movie sounds good <eos>,a movie sounds good <eos>,17,31
a movie sounds good.,call me tomorrow then.,a movie sounds good,<sos> call me tomorrow then <eos>,call me tomorrow then <eos>,19,33
have you seen the new girl in school?,"no, i haven't.",have you seen the new girl in school,<sos> no i have not <eos>,no i have not <eos>,36,25
"no, i haven't.",she's really pretty.,no i have not,<sos> she is really pretty <eos>,she is really pretty <eos>,13,32
she's really pretty.,describe her to me.,she is really pretty,<sos> describe her to me <eos>,describe her to me <eos>,20,30
describe her to me.,she's not too tall.,describe her to me,<sos> she is not too tall <eos>,she is not too tall <eos>,18,31
she's not too tall.,"well, how tall is she?",she is not too tall,<sos> well how tall is she <eos>,well how tall is she <eos>,19,32
"well, how tall is she?",she's about five feet even.,well how tall is she,<sos> she is about five feet even <eos>,she is about five feet even <eos>,20,39
she's about five feet even.,"what does she look like, though?",she is about five feet even,<sos> what does she look like though <eos>,what does she look like though <eos>,27,42
"what does she look like, though?",she has pretty light brown eyes.,what does she look like though,<sos> she has pretty light brown eyes <eos>,she has pretty light brown eyes <eos>,30,43
she has pretty light brown eyes.,i may know which girl you're talking about.,she has pretty light brown eyes,<sos> i may know which girl you are talking about <eos>,i may know which girl you are talking about <eos>,31,55
i may know which girl you're talking about.,so you have seen her around?,i may know which girl you are talking about,<sos> so you have seen her around <eos>,so you have seen her around <eos>,43,39
so you have seen her around?,"yes, i have.",so you have seen her around,<sos> yes i have <eos>,yes i have <eos>,27,22
"there's a new girl in school, have you seen her yet?",i haven't seen her yet.,there ' s a new girl in school have you seen her yet,<sos> i have not seen her yet <eos>,i have not seen her yet <eos>,52,35
i haven't seen her yet.,i think that she is very pretty.,i have not seen her yet,<sos> i think that she is very pretty <eos>,i think that she is very pretty <eos>,23,43
i think that she is very pretty.,tell me how she looks.,i think that she is very pretty,<sos> tell me how she looks <eos>,tell me how she looks <eos>,31,33
tell me how she looks.,she's kind of short.,tell me how she looks,<sos> she is kind of short <eos>,she is kind of short <eos>,21,32
she's kind of short.,what height is she?,she is kind of short,<sos> what height is she <eos>,what height is she <eos>,20,30
what height is she?,she's probably about five feet.,what height is she,<sos> she is probably about five feet <eos>,she is probably about five feet <eos>,18,43
she's probably about five feet.,"that's nice, but tell me what she looks like.",she is probably about five feet,<sos> that is nice but tell me what she looks like <eos>,that is nice but tell me what she looks like <eos>,31,56
"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.,that is nice but tell me what she looks like,<sos> the first thing i noticed was her beautiful brown eyes <eos>,the first thing i noticed was her beautiful brown eyes <eos>,44,66
the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.,the first thing i noticed was her beautiful brown eyes,<sos> i think i might have bumped into her before <eos>,i think i might have bumped into her before <eos>,54,55
i think i might've bumped into her before.,are you telling me that you've seen her before?,i think i might have bumped into her before,<sos> are you telling me that you have seen her before <eos>,are you telling me that you have seen her before <eos>,43,60
are you telling me that you've seen her before?,i believe so.,are you telling me that you have seen her before,<sos> i believe so <eos>,i believe so <eos>,48,24
have you met the new girl?,no. have you?,have you met the new girl,<sos> no have you <eos>,no have you <eos>,25,23
no. have you?,she's one of the prettiest girls at the school.,no have you,<sos> she is one of the prettiest girls at the school <eos>,she is one of the prettiest girls at the school <eos>,11,59
she's one of the prettiest girls at the school.,what does she look like?,she is one of the prettiest girls at the school,<sos> what does she look like <eos>,what does she look like <eos>,47,35
what does she look like?,"well, she's quite short.",what does she look like,<sos> well she is quite short <eos>,well she is quite short <eos>,23,35
"well, she's quite short.",how tall would you say that she is?,well she is quite short,<sos> how tall would you say that she is <eos>,how tall would you say that she is <eos>,23,46
